"GCNumber","Reason","Type","StartTime","EndTime","DurationMs"
"54","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:12.466","2025-04-28 23:50:12.566","100"
"55","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:12.834","2025-04-28 23:50:12.991","157"
"56","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:13.107","2025-04-28 23:50:13.188","81"
"57","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:13.289","2025-04-28 23:50:13.369","80"
"58","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:13.481","2025-04-28 23:50:13.570","89"
"59","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:13.683","2025-04-28 23:50:13.986","303"
"60","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:13.683","2025-04-28 23:50:13.772","89"
"61","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:14.018","2025-04-28 23:50:14.159","141"
"62","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:14.292","2025-04-28 23:50:14.369","77"
"63","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:14.478","2025-04-28 23:50:14.554","76"
"64","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:14.664","2025-04-28 23:50:14.745","81"
"65","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:14.843","2025-04-28 23:50:15.021","178"
"66","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:14.843","2025-04-28 23:50:14.932","89"
"67","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:15.120","2025-04-28 23:50:15.262","142"
"68","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:15.374","2025-04-28 23:50:15.447","73"
"69","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:15.558","2025-04-28 23:50:15.636","78"
"70","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:15.748","2025-04-28 23:50:16.243","495"
"71","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:15.749","2025-04-28 23:50:15.831","82"
"72","0 - SOH allocation","2 - Background (blocking)","2025-04-28 23:50:16.083","2025-04-28 23:50:16.228","145"
"73","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:16.354","2025-04-28 23:50:16.430","76"
"74","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:16.651","2025-04-28 23:50:16.766","115"
"75","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:17.075","2025-04-28 23:50:17.215","140"
"76","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:17.572","2025-04-28 23:50:17.700","128"
"77","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:18.018","2025-04-28 23:50:18.275","257"
"78","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:18.524","2025-04-28 23:50:18.639","115"
"79","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:18.869","2025-04-28 23:50:18.989","120"
"80","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:19.255","2025-04-28 23:50:19.385","130"
"81","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:19.676","2025-04-28 23:50:20.004","328"
"82","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:19.676","2025-04-28 23:50:19.813","137"
"83","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:20.165","2025-04-28 23:50:20.305","140"
"84","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:20.353","2025-04-28 23:50:20.394","41"
"85","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:20.445","2025-04-28 23:50:20.572","127"
"86","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:20.785","2025-04-28 23:50:20.888","103"
"87","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:21.128","2025-04-28 23:50:21.238","110"
"88","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:21.478","2025-04-28 23:50:21.599","121"
"89","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:21.844","2025-04-28 23:50:22.106","262"
"90","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:21.844","2025-04-28 23:50:21.970","126"
"91","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:22.297","2025-04-28 23:50:22.467","170"
"92","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:22.556","2025-04-28 23:50:22.618","62"
"93","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:22.687","2025-04-28 23:50:23.236","549"
"94","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:22.687","2025-04-28 23:50:22.754","67"
"95","0 - SOH allocation","2 - Background (blocking)","2025-04-28 23:50:22.870","2025-04-28 23:50:22.941","71"
"96","0 - SOH allocation","2 - Background (blocking)","2025-04-28 23:50:23.040","2025-04-28 23:50:23.105","65"
"97","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:23.267","2025-04-28 23:50:23.324","57"
"98","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:23.570","2025-04-28 23:50:23.693","123"
"99","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:23.975","2025-04-28 23:50:24.118","143"
"100","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:24.346","2025-04-28 23:50:24.486","140"
"101","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:24.761","2025-04-28 23:50:25.036","275"
"102","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:25.299","2025-04-28 23:50:25.435","136"
"103","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:25.706","2025-04-28 23:50:25.838","132"
"104","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:26.102","2025-04-28 23:50:26.244","142"
"105","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:26.493","2025-04-28 23:50:26.903","410"
"106","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:26.493","2025-04-28 23:50:26.637","144"
"107","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:27.061","2025-04-28 23:50:27.204","143"
"108","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:27.276","2025-04-28 23:50:27.327","51"
"109","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:27.379","2025-04-28 23:50:27.688","309"
"110","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:27.882","2025-04-28 23:50:27.979","97"
"111","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:28.180","2025-04-28 23:50:28.286","106"
"112","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:28.509","2025-04-28 23:50:28.623","114"
"113","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:28.838","2025-04-28 23:50:28.959","121"
"114","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:29.173","2025-04-28 23:50:29.497","324"
"115","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:29.173","2025-04-28 23:50:29.305","132"
"116","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:29.623","2025-04-28 23:50:29.758","135"
"117","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:29.826","2025-04-28 23:50:29.875","49"
"118","0 - SOH allocation","1 - Background (non-blocking)","2025-04-28 23:50:29.930","2025-04-28 23:50:30.227","297"
"119","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:29.930","2025-04-28 23:50:29.977","47"
"120","0 - SOH allocation","2 - Background (blocking)","2025-04-28 23:50:30.073","2025-04-28 23:50:30.127","54"
"121","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:30.242","2025-04-28 23:50:30.285","43"
"122","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:30.509","2025-04-28 23:50:30.618","109"
"123","0 - SOH allocation","0 - Blocking (foreground)","2025-04-28 23:50:30.839","2025-04-28 23:50:30.961","122"
